"Label (Grouping)","Total"
"    Margin of Error","*****"
"Pullman-Moscow, WA-ID CSA",""
"    Estimate","88,597"
"    Margin of Error","*****"
"Quincy-Hannibal, IL-MO CSA",""
"    Estimate","112,906"
"    Margin of Error","±1,990"
"Raleigh-Durham-Cary, NC CSA",""
"    Estimate","2,190,786"
"    Margin of Error","*****"
"Rapid City-Spearfish, SD CSA",""
"    Estimate","171,165"
"    Margin of Error","±2,983"
"Redding-Red Bluff, CA CSA",""
"    Estimate","246,175"
"    Margin of Error","*****"
"Reno-Carson City-Fernley, NV CSA",""
"    Estimate","670,549"
"    Margin of Error","±1,397"
"Richmond-Connersville, IN CSA",""
"    Estimate","89,208"
"    Margin of Error","±2,648"
"Rochester-Austin, MN CSA",""
"    Estimate","268,213"
"    Margin of Error","*****"
"Rochester-Batavia-Seneca Falls, NY CSA",""
"    Estimate","1,171,569"
"    Margin of Error","*****"
"Rockford-Freeport-Rochelle, IL CSA",""
"    Estimate","430,320"
"    Margin of Error","*****"
"Rocky Mount-Wilson-Roanoke Rapids, NC CSA",""
"    Estimate","288,174"
"    Margin of Error","±1,950"
"Sacramento-Roseville, CA CSA",""
"    Estimate","2,701,808"
"    Margin of Error","*****"
"Saginaw-Midland-Bay City, MI CSA",""
"    Estimate","374,825"
"    Margin of Error","*****"
"St. Louis-St. Charles-Farmington, MO-IL CSA",""
"    Estimate","2,903,711"
"    Margin of Error","±2,045"
"Salisbury-Cambridge, MD-DE CSA",""
"    Estimate","471,757"
"    Margin of Error","*****"
"Salt Lake City-Provo-Orem, UT CSA",""
"    Estimate","2,775,219"
"    Margin of Error","±932"
"San Antonio-New Braunfels-Pearsall, TX CSA",""
"    Estimate","2,671,633"
"    Margin of Error","±3,268"
"San Jose-San Francisco-Oakland, CA CSA",""
"    Estimate","9,482,708"
"    Margin of Error","*****"
"San Juan-Bayamón, PR CSA",""
"    Estimate","2,315,414"
"    Margin of Error","±3,481"
"Savannah-Hinesville-Statesboro, GA CSA",""
"    Estimate","619,337"
