"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"Cleveland-Akron-Canton, OH CSA","3,630,166","3,630,174","3,627,605","3,619,840","3,613,640","3,616,712","3,617,949","3,611,851","3,606,299","3,599,929","3,594,313","3,586,918"
"Cleveland-Indianola, MS CSA","63,595","63,536","63,087","62,328","62,404","61,885","61,223","60,107","59,042","57,860","57,326","55,738"
"Clovis-Portales, NM CSA","68,222","68,216","68,989","70,249","71,124","70,796","70,756","69,427","69,428","68,694","68,097","67,454"
"Columbia-Moberly-Mexico, MO CSA","241,330","241,347","241,858","244,839","247,398","249,314","251,358","253,143","254,889","256,214","256,901","258,309"
"Columbia-Orangeburg-Newberry, SC CSA","897,607","897,487","899,576","905,394","912,242","918,976","926,591","936,067","943,541","950,991","957,146","963,048"
"Columbus-Auburn-Opelika, GA-AL CSA","448,035","448,765","450,270","459,435","471,288","479,653","479,784","479,726","478,208","477,382","481,867","485,590"
"Columbus-Marion-Zanesville, OH CSA","2,308,509","2,308,577","2,313,138","2,332,444","2,351,437","2,377,600","2,405,239","2,430,496","2,454,418","2,485,249","2,507,532","2,525,639"
"Columbus-West Point, MS CSA","80,413","80,427","80,356","80,111","80,001","80,158","79,950","79,702","79,403","78,768","78,164","77,911"
"Corpus Christi-Kingsville-Alice, TX CSA","513,282","513,277","512,929","516,424","522,435","528,690","533,220","537,134","538,467","537,206","535,205","535,257"
"Dallas-Fort Worth, TX-OK CSA","6,807,747","6,807,889","6,833,968","6,953,951","7,089,335","7,199,786","7,339,298","7,496,753","7,655,085","7,805,422","7,933,113","8,057,796"
"Davenport-Moline, IA-IL CSA","471,551","471,601","471,642","472,629","474,048","475,134","474,993","474,007","472,394","470,849","469,355","468,265"
"Dayton-Springfield-Kettering, OH CSA","1,080,044","1,080,143","1,080,336","1,080,405","1,080,021","1,078,998","1,077,585","1,075,844","1,075,514","1,076,920","1,078,322","1,080,282"
"Denver-Aurora, CO CSA","3,090,874","3,090,995","3,103,767","3,161,702","3,218,975","3,280,017","3,343,318","3,416,742","3,473,717","3,520,102","3,571,116","3,617,927"
