"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,2013-2023
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",4.0
25220,"Hammond, LA (Metropolitan Statistical Area)",3.9
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",4.0
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",3.9
25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",4.6
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",3.5
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",3.6
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",5.0
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",5.7
25980,"Hinesville, GA (Metropolitan Statistical Area)",3.0
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",3.6
26300,"Hot Springs, AR (Metropolitan Statistical Area)",4.5
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",2.6
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",3.4
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",4.2
26620,"Huntsville, AL (Metropolitan Statistical Area)",4.3
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",5.0
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",4.8
26980,"Iowa City, IA (Metropolitan Statistical Area)",3.7
27060,"Ithaca, NY (Metropolitan Statistical Area)",3.9
27100,"Jackson, MI (Metropolitan Statistical Area)",4.2
27140,"Jackson, MS (Metropolitan Statistical Area)",3.9
27180,"Jackson, TN (Metropolitan Statistical Area)",4.1
27260,"Jacksonville, FL (Metropolitan Statistical Area)",4.7
27340,"Jacksonville, NC (Metropolitan Statistical Area)",2.6
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",4.0
27620,"Jefferson City, MO (Metropolitan Statistical Area)",4.3
27740,"Johnson City, TN (Metropolitan Statistical Area)",4.2
27780,"Johnstown, PA (Metropolitan Statistical Area)",3.6
27860,"Jonesboro, AR (Metropolitan Statistical Area)",4.0
27900,"Joplin, MO (Metropolitan Statistical Area)",3.5
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",5.0
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",4.6
28100,"Kankakee, IL (Metropolitan Statistical Area)",4.2
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",4.3
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",3.8
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",2.9
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",3.8
28740,"Kingston, NY (Metropolitan Statistical Area)",4.9
28940,"Knoxville, TN (Metropolitan Statistical Area)",5.0
29020,"Kokomo, IN (Metropolitan Statistical Area)",3.7
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",4.3
29180,"Lafayette, LA (Metropolitan Statistical Area)",2.7
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",4.0
29340,"Lake Charles, LA (Metropolitan Statistical Area)",3.7
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",5.6
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",3.4
29540,"Lancaster, PA (Metropolitan Statistical Area)",4.8
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",4.4
29700,"Laredo, TX (Metropolitan Statistical Area)",3.8
29740,"Las Cruces, NM (Metropolitan Statistical Area)",4.6
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",5.2
29940,"Lawrence, KS (Metropolitan Statistical Area)",4.4
30020,"Lawton, OK (Metropolitan Statistical Area)",3.3
30140,"Lebanon, PA (Metropolitan Statistical Area)",4.2
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",4.4
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",4.5
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",4.4
30620,"Lima, OH (Metropolitan Statistical Area)",4.3
30700,"Lincoln, NE (Metropolitan Statistical Area)",4.8
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",4.1
30860,"Logan, UT-ID (Metropolitan Statistical Area)",5.1
30980,"Longview, TX (Metropolitan Statistical Area)",2.8
31020,"Longview, WA (Metropolitan Statistical Area)",4.5
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",5.1
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",4.8
31180,"Lubbock, TX (Metropolitan Statistical Area)",3.7
31340,"Lynchburg, VA (Metropolitan Statistical Area) *",4.0
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",3.7
31460,"Madera, CA (Metropolitan Statistical Area)",3.8
31540,"Madison, WI (Metropolitan Statistical Area)",4.6
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",4.1
31740,"Manhattan, KS (Metropolitan Statistical Area)",3.5
31860,"Mankato, MN (Metropolitan Statistical Area)",3.6
31900,"Mansfield, OH (Metropolitan Statistical Area)",3.9
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",3.7
32780,"Medford, OR (Metropolitan Statistical Area)",5.6
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",4.1
32900,"Merced, CA (Metropolitan Statistical Area)",4.0
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",6.5
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",4.0
33220,"Midland, MI (Metropolitan Statistical Area)",3.3
33260,"Midland, TX (Metropolitan Statistical Area)",2.3
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",4.3
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",4.5
33540,"Missoula, MT (Metropolitan Statistical Area)",5.8
33660,"Mobile, AL (Metropolitan Statistical Area)",4.1
33700,"Modesto, CA (Metropolitan Statistical Area)",4.4
33740,"Monroe, LA (Metropolitan Statistical Area)",3.5
33780,"Monroe, MI (Metropolitan Statistical Area)",4.7
33860,"Montgomery, AL (Metropolitan Statistical Area)",3.8
34060,"Morgantown, WV (Metropolitan Statistical Area)",4.1
34100,"Morristown, TN (Metropolitan Statistical Area)",4.7
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",4.7
34620,"Muncie, IN (Metropolitan Statistical Area)",4.3
34740,"Muskegon, MI (Metropolitan Statistical Area)",4.5
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",5.0
34900,"Napa, CA (Metropolitan Statistical Area)",5.8
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",6.8
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",5.6
35100,"New Bern, NC (Metropolitan Statistical Area)",4.3
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",3.8
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",3.9
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",4.5
35660,"Niles, MI (Metropolitan Statistical Area)",4.8
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",5.2
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",3.8
36100,"Ocala, FL (Metropolitan Statistical Area)",4.1
36140,"Ocean City, NJ (Metropolitan Statistical Area)",5.2
36220,"Odessa, TX (Metropolitan Statistical Area)",2.7
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",5.3
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",4.1
36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",4.6
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",4.6
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",5.0
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",4.3
36980,"Owensboro, KY (Metropolitan Statistical Area)",3.7
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",4.6
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",4.7
37460,"Panama City, FL (Metropolitan Statistical Area)",4.2
37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",5.1
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",4.5
37900,"Peoria, IL (Metropolitan Statistical Area)",3.7
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",4.1
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",5.6
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",3.3
38300,"Pittsburgh, PA (Metropolitan Statistical Area)",4.3
38340,"Pittsfield, MA (Metropolitan Statistical Area)",4.8
38540,"Pocatello, ID (Metropolitan Statistical Area)",4.6
38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",5.4
38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",5.5
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",5.3
39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",3.9
39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",5.6
39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",4.2
39340,"Provo-Orem, UT (Metropolitan Statistical Area)",6.6
39380,"Pueblo, CO (Metropolitan Statistical Area)",4.4
39460,"Punta Gorda, FL (Metropolitan Statistical Area)",4.6
39540,"Racine, WI (Metropolitan Statistical Area)",4.4
39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)",5.2
39660,"Rapid City, SD (Metropolitan Statistical Area)",5.1
39740,"Reading, PA (Metropolitan Statistical Area)",4.1
39820,"Redding, CA (Metropolitan Statistical Area)",4.9
39900,"Reno, NV (Metropolitan Statistical Area)",6.5
40060,"Richmond, VA (Metropolitan Statistical Area) *",4.4
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",4.8
40220,"Roanoke, VA (Metropolitan Statistical Area) *",4.2
40340,"Rochester, MN (Metropolitan Statistical Area)",4.1
40380,"Rochester, NY (Metropolitan Statistical Area)",3.8
40420,"Rockford, IL (Metropolitan Statistical Area)",3.9
40580,"Rocky Mount, NC (Metropolitan Statistical Area)",4.4
40660,"Rome, GA (Metropolitan Statistical Area)",3.9
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",4.6
40980,"Saginaw, MI (Metropolitan Statistical Area)",4.3
41060,"St. Cloud, MN (Metropolitan Statistical Area)",4.5
41100,"St. George, UT (Metropolitan Statistical Area)",6.3
41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",4.0
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",5.1
41420,"Salem, OR (Metropolitan Statistical Area)",5.6
41500,"Salinas, CA (Metropolitan Statistical Area)",4.5
41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",4.4
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",5.8
41660,"San Angelo, TX (Metropolitan Statistical Area)",4.5
41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",3.9
41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",5.0
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",6.5
